household_id,disposition,assigned_on
33f3ef6e-6c32-467f-97df-e0323a4a9d0d,new,
d524bd80-156e-4072-9d0c-cf737584e185,new,
d57c3c35-40de-45f2-aacb-3b041665288d,do_not_call,
02d426df-a4d9-4f7e-bf1e-bb9790fdc593,do_not_call,
b189ab83-199c-4b76-ac41-26070c5d7080,do_not_call,
de589f44-ec83-4616-89e6-2b7dac767d24,new,
2f1690d7-0a06-4938-8573-e4ede733eae1,do_not_call,
a86d6e83-cb6f-490e-b750-45217f104fcd,new,
f0b17bdb-ee93-4af9-9c32-68304f0234e1,new,
ce385f28-b0c0-4c7e-bbfa-cb77283636a4,new,
3aea4312-066a-4b67-8327-0db29fa1fa9b,new,
90809e6d-08c8-44b2-bf9c-01d29979872d,new,
ea890264-fcfb-49b1-bc9b-ebe469b5601d,new,
ee2a07c5-6d34-4f23-a9bb-f4e099a3c70e,new,
0dc2887c-5334-4040-827f-473a302acaa7,new,
21ad5caa-6269-487b-9e74-1a5cb7eca612,new,
40507d90-cfbe-4ba0-a918-fd6dc403faad,new,
668d99b9-6857-4d11-8565-a58501b06817,new,
7bbd8ca4-ccf8-4127-91a4-b5fa0ea8f776,new,
ed9c9c32-c39d-4a35-af3e-c2dbb4ed5c37,new,
9097e75e-d7e6-40c0-8b91-8388eda5a33a,new,
ac8f7291-515c-409f-8d36-abce9419d83c,new,
a2fa63a5-3216-4348-9759-e5e9f4ad00bc,new,
380e64b2-2c84-4d86-adf8-c76b0689caf3,new,
71d7f0a2-d0cb-4d4b-8238-4ad7b1f466e9,new,
27640a2a-0ca2-4fa6-a972-c68eb63b8de4,new,
c28cf883-6ad0-49d5-9888-6e4bdee07b2d,new,
c96469bf-04f2-45c6-951b-3b902d0ad09c,new,
8ccccbe3-4920-43cf-93fb-e10007ab3b23,new,
1248a37e-5cf1-467f-933b-ee14f4f31605,new,
8696f052-ebd7-41a2-9774-cb785eb19471,new,
e267272f-f9e3-484f-a57c-04cf72f6b436,new,
0f8c2131-526f-4d52-b637-203560babb2e,new,
074c2c9f-00b6-4edc-a469-66858131b25a,new,
21c77a33-19cf-4c9f-82a8-a2e595e9f0fd,new,
e12ae254-8040-4188-9068-e2abf0420169,new,
c4f9058a-ab0f-41da-a336-6de68705042f,new,
bed982a2-9732-4ba1-9caa-819ac4ad5d8d,new,
26c484c4-2bb5-4a41-bfa5-29579a09cbe8,new,
a4e20062-169b-4ca2-a358-0946fcfb874c,new,
432addab-1678-46e3-82fb-f09cb6a9c2f5,new,
e7bb2d76-88a9-4520-8afa-67402b712a27,new,
b54d2770-3556-4acf-bca3-a2d97c116c09,new,
d302d813-72f7-4068-9bc7-f67f08def0b0,new,
6477027d-be90-4fa0-897f-73414d4bc73d,new,
ff42d35d-274d-46cb-b6be-d3c3bfb3814f,new,
9c13d5bb-4598-456d-9e7a-709c98f721d9,new,
3d1ebdc1-8eaa-474d-ad38-21b17f9135d1,new,
7555d9d4-4eb2-40e0-80e9-8a090a785fed,new,
4471a520-0af2-42c6-9247-1c25c74f8116,new,
063c69cb-f8f7-4279-9ec3-9adeab5f5da8,new,
a35ce088-ade7-48fb-858d-9e24cddec62a,new,
6a2744b1-b544-426a-8d36-9db9c458f464,new,
4c605a05-5ef3-46bb-ad4c-5ef93b094550,new,
136261f4-2272-4c36-b12b-64a0933391d4,new,
e8c114c1-f2e6-4678-8f7e-1b6e1442f24f,new,
0a870ac4-366c-4e16-b238-028af1633386,new,
e53bfe8d-34c9-4da2-aa74-fd379e5a7ef9,new,
5db0ead2-33b3-4a94-82c3-4ace2114a756,new,
89291b90-230a-4fc5-90ef-113a01876d4d,new,
dfc397ac-14d1-4663-9155-45ddc398f9a1,new,
560aa1d2-9353-470e-872f-a203a576768b,new,
178eb532-e7e1-4397-95ca-46b6f5bc4a42,new,
05a92497-ac2e-4be7-8404-3c0db133b664,new,
3cd53b80-d414-4e3f-a1bf-bba0e32e000f,new,
c721565f-7ad3-42b7-9799-91479f1327fb,new,
f649e2cb-8ab2-451b-85f8-f46a935c9dd4,new,
da41adba-7ccd-46af-bcfe-173a0f19c197,new,
8253e15d-f39f-49eb-9cae-2ccb28ff1679,new,
b85d6b56-0cfe-466b-ba13-50094b516dd0,new,
f9d9ac84-8d78-4b66-8978-da3415da28e4,new,
2530fe66-1855-4262-9ceb-ee77eba29358,new,
c3554f8d-0fd8-46be-a580-730d8aacc6c6,new,
b88f34d9-bbd8-4567-b76e-1bab934de63d,new,
3a1a17c1-b497-4868-bdd3-61641fd65480,new,
0e6887e5-b7cd-43a1-8ec3-c8dc14dd9e20,new,
161cc4fd-5b29-4f48-bbfa-1db7bfcda396,new,
01696940-232a-4754-a299-f7860d744ea5,new,
8172f6f9-1b8e-475a-a472-fa43b7d50a54,new,
cf3901ed-05bc-4d42-b2df-2e95a93da5cd,new,
bb5b6927-9b8d-4e66-a373-25a65f08ef98,new,
dd9bce44-d74d-47bf-b573-cd00da9a1d42,new,
237a53b6-b242-400a-bad0-943e45cc4901,new,
adcb5bb0-d7fc-4e86-b612-667db6d5b2ca,new,
b2dad96c-4eca-49ca-9538-c1239f9eff0a,new,
d045dc9f-dfc2-4e27-8d26-3f44b801a150,new,
e6b656ac-2ac5-447c-b858-71f5a18e4897,new,
a66aa81b-44cc-467d-9677-6e4fd7c37aa1,new,
d8bf38f6-21c6-4bd9-8422-28da7eb6cf6b,new,
5dfc672d-da0a-4dc7-acfa-cfab473aa86e,new,
80ff8ea7-c7d5-449d-bf20-5f1c2a0df639,new,
97cd1ee9-1b60-48a6-8f5f-867b26634b24,new,
a1218c05-daba-4f61-a3ec-9c0f83ee0130,new,
5dc47236-8cb5-4c84-a8f8-e12dd9d09ddf,new,
18d75cb7-38b3-443e-a896-302ae5cd11f5,new,
b50e330f-2b65-497a-99af-e3cf7fabfa04,new,
713aac73-6ec1-4b85-89e0-fd307df5ab50,new,
43a04952-99a1-4de5-95bd-47fd345d5f4c,new,
737625c2-87c7-4a9b-a5c9-58678bc0ff49,new,
c45f86ce-74a8-4ae3-a10f-d183563f1e92,new,
064fab9f-0a95-4123-9346-bfb6600d955d,new,
4d2063ce-d501-41c9-a88d-dca2cd8cd138,new,
89ff7df5-b6ae-400b-9bbe-0cd57bd2f0ef,new,
7d7f4ed2-ac81-4f38-8d8d-71fca71a9143,new,
c10963f2-4df6-4cd7-9bc0-02ffcf876e3d,new,
f2d1da04-c839-479b-b40a-7ccf46ae2a0a,new,
d8ac7520-f85d-4f6d-a5a4-4dc48d0a5473,new,
f54d22e7-974c-4449-84db-54c5a1281ae1,new,
3c27672f-ab02-4875-ad0f-53c5cf9ded89,new,
01462653-42e0-4640-8774-7eefa7f2165f,new,
4d9d0415-2760-4132-a5b7-69c3e18a2de6,new,
